LeakagePort 1	Current turn 0.5	Pressure storage 13.5116	Pressure reaction 1.47344	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
4.17	10.946	6.95149	0.00154281	0.00721009
4.18	10.9425	6.95887	0.00154164	0.00721775
4.19	10.9391	6.96625	0.00154046	0.00722539
4.2	10.9356	6.97361	0.00153928	0.00723303
4.21	10.9322	6.98097	0.00153809	0.00724067
4.22	10.9287	6.98833	0.0015369	0.0072483
4.23	10.9253	6.99568	0.0015357	0.00725592
4.24	10.9219	7.00302	0.0015345	0.00726354
4.25	10.9184	7.01036	0.0015333	0.00727115
4.26	10.915	7.0177	0.00153208	0.00727876
4.27	10.9116	7.02502	0.00153087	0.00728636
4.28	10.9081	7.03234	0.00152965	0.00729395
4.29	10.9047	7.03966	0.00152842	0.00730154
4.3	10.9013	7.04697	0.00152719	0.00730912
4.31	10.8979	7.05427	0.00152595	0.0073167
4.32	10.8944	7.06157	0.00152471	0.00732426
4.33	10.891	7.06886	0.00152347	0.00733183
4.34	10.8876	7.07615	0.00152221	0.00733938
4.35	10.8842	7.08343	0.00152096	0.00734694
4.36	10.8808	7.0907	0.0015197	0.00735448
4.37	10.8774	7.09797	0.00151843	0.00736202
4.38	10.874	7.10523	0.00151716	0.00736955
4.39	10.8706	7.11249	0.00151589	0.00737708
4.4	10.8672	7.11974	0.00151461	0.00738459
4.41	10.8638	7.12698	0.00151332	0.00739211
4.42	10.8604	7.13422	0.00151203	0.00739961
4.43	10.857	7.14145	0.00151074	0.00740711
4.44	10.8537	7.14867	0.00150944	0.00741461
4.45	10.8503	7.15589	0.00150813	0.0074221
4.46	10.8469	7.1631	0.00150682	0.00742958
4.47	10.8435	7.17031	0.00150551	0.00743705
4.48	10.8401	7.17751	0.00150419	0.00744452
4.49	10.8368	7.1847	0.00150286	0.00745198
4.5	10.8334	7.19189	0.00150153	0.00745943
4.51	10.83	7.19907	0.0015002	0.00746688
4.52	10.8267	7.20625	0.00149886	0.00747432
4.53	10.8233	7.21342	0.00149752	0.00748176
4.54	10.82	7.22058	0.00149617	0.00748919
4.55	10.8166	7.22773	0.00149482	0.00749661
4.56	10.8133	7.23488	0.00149346	0.00750402
4.57	10.8099	7.24202	0.0014921	0.00751143
4.58	10.8066	7.24916	0.00149073	0.00751883
4.59	10.8033	7.25629	0.00148936	0.00752623
4.6	10.7999	7.26341	0.00148798	0.00753361
4.61	10.7966	7.27053	0.0014866	0.007541
4.62	10.7933	7.27764	0.00148521	0.00754837
4.63	10.7899	7.28474	0.00148382	0.00755574
4.64	10.7866	7.29184	0.00148242	0.0075631
4.65	10.7833	7.29893	0.00148102	0.00757045
4.66	10.78	7.30601	0.00147961	0.0075778
4.67	10.7767	7.31308	0.0014782	0.00758514
4.68	10.7733	7.32015	0.00147679	0.00759247
4.69	10.77	7.32722	0.00147537	0.00759979
4.7	10.7667	7.33427	0.00147394	0.00760711
4.71	10.7634	7.34132	0.00147251	0.00761442
4.72	10.7601	7.34836	0.00147108	0.00762173
4.73	10.7568	7.3554	0.00146964	0.00762902
4.74	10.7535	7.36243	0.00146819	0.00763631
4.75	10.7503	7.36945	0.00146674	0.0076436
4.76	10.747	7.37646	0.00146529	0.00765087
4.77	10.7437	7.38347	0.00146383	0.00765814
4.78	10.7404	7.39047	0.00146237	0.0076654
4.79	10.7371	7.39747	0.0014609	0.00767266
4.8	10.7339	7.40445	0.00145942	0.0076799
4.81	10.7306	7.41143	0.00145795	0.00768714
4.82	10.7273	7.4184	0.00145646	0.00769437
4.83	10.7241	7.42537	0.00145498	0.0077016
4.84	10.7208	7.43233	0.00145349	0.00770881
4.85	10.7175	7.43928	0.00145199	0.00771602
4.86	10.7143	7.44622	0.00145049	0.00772323
4.87	10.711	7.45316	0.00144898	0.00773042
4.88	10.7078	7.46009	0.00144747	0.00773761
4.89	10.7046	7.46701	0.00144596	0.00774479
4.9	10.7013	7.47393	0.00144444	0.00775196
4.91	10.6981	7.48083	0.00144291	0.00775913
4.92	10.6949	7.48774	0.00144138	0.00776628
4.93	10.6916	7.49463	0.00143985	0.00777343
4.94	10.6884	7.50151	0.00143831	0.00778057
4.95	10.6852	7.50839	0.00143677	0.00778771
4.96	10.682	7.51526	0.00143522	0.00779484
4.97	10.6787	7.52213	0.00143367	0.00780196
4.98	10.6755	7.52898	0.00143211	0.00780907
4.99	10.6723	7.53583	0.00143055	0.00781617
5	10.6691	7.54268	0.00142898	0.00782327
5.01	10.6659	7.54951	0.00142741	0.00783035
5.02	10.6627	7.55634	0.00142583	0.00783744
5.03	10.6595	7.56315	0.00142425	0.00784451
5.04	10.6563	7.56997	0.00142267	0.00785157
5.05	10.6532	7.57677	0.00142108	0.00785863
5.06	10.65	7.58357	0.00141948	0.00786568
5.07	10.6468	7.59035	0.00141788	0.00787272
5.08	10.6436	7.59714	0.00141628	0.00787975
5.09	10.6404	7.60391	0.00141467	0.00788678
5.1	10.6373	7.61067	0.00141306	0.00789379
