SupplyPort 1	Port pressure 28
Elapsed	Pressure	Rate
9.01	27.9105	0.000154218
9.02	27.9112	0.000153028
9.03	27.9119	0.000151847
9.04	27.9126	0.000150675
9.05	27.9132	0.000149512
9.06	27.9139	0.000148358
9.07	27.9146	0.000147213
9.08	27.9152	0.000146076
9.09	27.9159	0.000144949
9.1	27.9166	0.00014383
9.11	27.9172	0.000142719
9.12	27.9178	0.000141617
9.13	27.9185	0.000140524
9.14	27.9191	0.000139439
9.15	27.9197	0.000138363
9.16	27.9203	0.000137294
9.17	27.921	0.000136234
9.18	27.9216	0.000135182
9.19	27.9222	0.000134138
9.2	27.9228	0.000133103
9.21	27.9234	0.000132075
9.22	27.924	0.000131055
9.23	27.9246	0.000130043
9.24	27.9251	0.000129039
9.25	27.9257	0.000128042
9.26	27.9263	0.000127053
9.27	27.9269	0.000126072
9.28	27.9274	0.000125098
9.29	27.928	0.000124132
