LeakagePort 0	Current turn 0.5	Pressure storage 21.792	Pressure reaction -0.00384763	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
3.26	11.5205	11.0955	0.00320537	0.0228504
3.27	11.5134	11.1032	0.00315006	0.0228663
3.28	11.5064	11.1108	0.00309464	0.022882
3.29	11.4995	11.1182	0.00303913	0.0228973
3.3	11.4927	11.1255	0.00298352	0.0229124
3.31	11.486	11.1327	0.00292782	0.0229272
3.32	11.4795	11.1398	0.00287202	0.0229417
3.33	11.4731	11.1467	0.00281614	0.0229559
3.34	11.4668	11.1535	0.00276016	0.0229699
3.35	11.4607	11.1601	0.0027041	0.0229836
3.36	11.4546	11.1666	0.00264794	0.022997
3.37	11.4487	11.173	0.0025917	0.0230102
3.38	11.443	11.1793	0.00253537	0.023023
3.39	11.4373	11.1854	0.00247896	0.0230356
3.4	11.4318	11.1913	0.00242246	0.0230479
3.41	11.4264	11.1972	0.00236587	0.0230599
3.42	11.4211	11.2029	0.00230921	0.0230716
3.43	11.416	11.2084	0.00225246	0.0230831
3.44	11.4109	11.2139	0.00219563	0.0230943
3.45	11.406	11.2191	0.00213871	0.0231051
3.46	11.4013	11.2243	0.00208172	0.0231158
3.47	11.3966	11.2293	0.00202464	0.0231261
3.48	11.3921	11.2342	0.00196749	0.0231361
3.49	11.3877	11.2389	0.00191025	0.0231459
3.5	11.3835	11.2435	0.00185293	0.0231554
3.51	11.3793	11.248	0.00179554	0.0231646
3.52	11.3753	11.2523	0.00173806	0.0231735
3.53	11.3715	11.2565	0.0016805	0.0231821
3.54	11.3677	11.2605	0.00162286	0.0231904
3.55	11.3641	11.2645	0.00156513	0.0231985
3.56	11.3606	11.2682	0.00150732	0.0232062
3.57	11.3572	11.2719	0.00144942	0.0232137
3.58	11.354	11.2753	0.00139144	0.0232209
3.59	11.3509	11.2787	0.00133336	0.0232278
3.6	11.3479	11.2819	0.00127519	0.0232344
3.61	11.3451	11.285	0.00121692	0.0232407
3.62	11.3424	11.2879	0.00115855	0.0232468
3.63	11.3398	11.2907	0.00110007	0.0232525
3.64	11.3373	11.2934	0.00104148	0.023258
3.65	11.335	11.2959	0.000982758	0.0232631
3.66	11.3328	11.2982	0.000923904	0.023268
3.67	11.3308	11.3005	0.000864902	0.0232726
3.68	11.3288	11.3025	0.000805736	0.0232769
3.69	11.327	11.3045	0.000746385	0.0232809
3.7	11.3254	11.3063	0.000686821	0.0232846
3.71	11.3239	11.3079	0.000627011	0.023288
3.72	11.3225	11.3094	0.000566906	0.0232911
3.73	11.3212	11.3108	0.000506441	0.0232939
3.74	11.3201	11.312	0.000445521	0.0232964
