LeakagePort 1	Current turn 0.5	Pressure storage 18.9856	Pressure reaction 0.62439	Used volumes E, B
Elapsed	Storage	Reaction	Flow rate	Modelled cm3 H2	
1.57	17.0719	2.37823	0.00520324	0.00489719
1.58	17.0603	2.39076	0.0051997	0.004923
1.59	17.0486	2.40329	0.00519616	0.00494879
1.6	17.037	2.4158	0.00519262	0.00497457
1.61	17.0254	2.42831	0.00518908	0.00500032
1.62	17.0138	2.44081	0.00518555	0.00502606
1.63	17.0023	2.4533	0.00518202	0.00505179
1.64	16.9907	2.46579	0.00517849	0.00507749
1.65	16.9791	2.47826	0.00517497	0.00510318
1.66	16.9676	2.49073	0.00517144	0.00512885
1.67	16.956	2.50318	0.00516792	0.0051545
1.68	16.9445	2.51563	0.0051644	0.00518013
1.69	16.9329	2.52807	0.00516089	0.00520575
1.7	16.9214	2.5405	0.00515737	0.00523135
1.71	16.9099	2.55293	0.00515386	0.00525693
1.72	16.8984	2.56534	0.00515035	0.0052825
1.73	16.8868	2.57775	0.00514685	0.00530804
1.74	16.8754	2.59015	0.00514334	0.00533357
1.75	16.8639	2.60254	0.00513984	0.00535909
1.76	16.8524	2.61492	0.00513634	0.00538458
1.77	16.8409	2.62729	0.00513284	0.00541006
1.78	16.8294	2.63966	0.00512935	0.00543552
1.79	16.818	2.65201	0.00512586	0.00546096
1.8	16.8065	2.66436	0.00512237	0.00548639
1.81	16.7951	2.6767	0.00511888	0.0055118
1.82	16.7837	2.68903	0.00511539	0.00553719
1.83	16.7722	2.70135	0.00511191	0.00556256
1.84	16.7608	2.71367	0.00510843	0.00558792
1.85	16.7494	2.72597	0.00510495	0.00561326
1.86	16.738	2.73827	0.00510148	0.00563858
1.87	16.7266	2.75056	0.005098	0.00566389
1.88	16.7152	2.76284	0.00509453	0.00568917
1.89	16.7038	2.77511	0.00509106	0.00571444
1.9	16.6925	2.78737	0.0050876	0.0057397
1.91	16.6811	2.79963	0.00508413	0.00576493
1.92	16.6697	2.81188	0.00508067	0.00579015
1.93	16.6584	2.82412	0.00507721	0.00581535
1.94	16.647	2.83635	0.00507376	0.00584054
1.95	16.6357	2.84857	0.0050703	0.00586571
1.96	16.6244	2.86078	0.00506685	0.00589086
1.97	16.6131	2.87299	0.0050634	0.00591599
1.98	16.6017	2.88518	0.00505995	0.00594111
1.99	16.5904	2.89737	0.00505651	0.00596621
2	16.5791	2.90955	0.00505306	0.00599129
2.01	16.5679	2.92173	0.00504962	0.00601635
2.02	16.5566	2.93389	0.00504619	0.0060414
2.03	16.5453	2.94605	0.00504275	0.00606643
2.04	16.534	2.95819	0.00503932	0.00609144
2.05	16.5228	2.97033	0.00503588	0.00611644
2.06	16.5115	2.98246	0.00503246	0.00614142
2.07	16.5003	2.99459	0.00502903	0.00616638
2.08	16.4891	3.0067	0.00502561	0.00619133
2.09	16.4778	3.01881	0.00502218	0.00621626
2.1	16.4666	3.0309	0.00501876	0.00624117
2.11	16.4554	3.04299	0.00501535	0.00626606
2.12	16.4442	3.05508	0.00501193	0.00629094
2.13	16.433	3.06715	0.00500852	0.0063158
2.14	16.4218	3.07921	0.00500511	0.00634065
2.15	16.4106	3.09127	0.0050017	0.00636547
2.16	16.3995	3.10332	0.0049983	0.00639028
2.17	16.3883	3.11536	0.00499489	0.00641508
2.18	16.3771	3.12739	0.00499149	0.00643985
2.19	16.366	3.13941	0.0049881	0.00646461
2.2	16.3548	3.15143	0.0049847	0.00648935
2.21	16.3437	3.16344	0.00498131	0.00651408
2.22	16.3326	3.17544	0.00497791	0.00653879
2.23	16.3215	3.18743	0.00497452	0.00656348
2.24	16.3103	3.19941	0.00497114	0.00658816
2.25	16.2992	3.21139	0.00496775	0.00661281
2.26	16.2881	3.22335	0.00496437	0.00663746
2.27	16.2771	3.23531	0.00496099	0.00666208
2.28	16.266	3.24726	0.00495761	0.00668669
2.29	16.2549	3.2592	0.00495424	0.00671128
2.3	16.2438	3.27114	0.00495086	0.00673585
2.31	16.2328	3.28306	0.00494749	0.00676041
2.32	16.2217	3.29498	0.00494412	0.00678495
2.33	16.2107	3.30689	0.00494076	0.00680948
2.34	16.1996	3.31879	0.00493739	0.00683399
2.35	16.1886	3.33069	0.00493403	0.00685848
2.36	16.1776	3.34257	0.00493067	0.00688295
2.37	16.1666	3.35445	0.00492732	0.00690741
2.38	16.1556	3.36632	0.00492396	0.00693185
2.39	16.1446	3.37818	0.00492061	0.00695627
2.4	16.1336	3.39003	0.00491726	0.00698068
2.41	16.1226	3.40188	0.00491391	0.00700507
2.42	16.1116	3.41372	0.00491057	0.00702945
2.43	16.1006	3.42555	0.00490722	0.00705381
2.44	16.0897	3.43737	0.00490388	0.00707815
2.45	16.0787	3.44918	0.00490054	0.00710247
2.46	16.0678	3.46098	0.00489721	0.00712678
2.47	16.0568	3.47278	0.00489387	0.00715107
2.48	16.0459	3.48457	0.00489054	0.00717535
2.49	16.035	3.49635	0.00488721	0.00719961
2.5	16.0241	3.50812	0.00488388	0.00722385
2.51	16.0132	3.51989	0.00488056	0.00724807
2.52	16.0023	3.53164	0.00487723	0.00727228
2.53	15.9914	3.54339	0.00487391	0.00729648
2.54	15.9805	3.55513	0.0048706	0.00732065
2.55	15.9696	3.56687	0.00486728	0.00734481
2.56	15.9587	3.57859	0.00486397	0.00736895
2.57	15.9479	3.59031	0.00486065	0.00739308
2.58	15.937	3.60202	0.00485734	0.00741719
2.59	15.9261	3.61372	0.00485404	0.00744129
2.6	15.9153	3.62541	0.00485073	0.00746536
2.61	15.9045	3.6371	0.00484743	0.00748942
2.62	15.8936	3.64877	0.00484413	0.00751347
2.63	15.8828	3.66044	0.00484083	0.0075375
2.64	15.872	3.6721	0.00483754	0.00756151
2.65	15.8612	3.68376	0.00483424	0.00758551
2.66	15.8504	3.6954	0.00483095	0.00760948
2.67	15.8396	3.70704	0.00482766	0.00763345
2.68	15.8288	3.71867	0.00482437	0.00765739
2.69	15.818	3.73029	0.00482109	0.00768132
2.7	15.8073	3.7419	0.00481781	0.00770524
2.71	15.7965	3.75351	0.00481453	0.00772914
2.72	15.7858	3.7651	0.00481125	0.00775302
2.73	15.775	3.77669	0.00480797	0.00777688
2.74	15.7643	3.78828	0.0048047	0.00780073
2.75	15.7535	3.79985	0.00480143	0.00782457
2.76	15.7428	3.81142	0.00479816	0.00784838
2.77	15.7321	3.82297	0.00479489	0.00787218
2.78	15.7214	3.83453	0.00479163	0.00789597
2.79	15.7107	3.84607	0.00478837	0.00791973
