SupplyPort 1	Port pressure 31
Elapsed	Pressure	Rate
4	26.654	0.00732768	55.5544
4.01	26.6865	0.00727783	55.5544
4.02	26.7187	0.00722825	55.5544
4.03	26.7507	0.00717892	55.5544
4.04	26.7824	0.00712987	55.5544
4.05	26.814	0.00708107	55.5544
4.06	26.8453	0.00703254	55.5544
4.07	26.8765	0.00698427	55.5544
4.08	26.9074	0.00693627	55.5544
4.09	26.9381	0.00688853	55.5544
4.1	26.9685	0.00684105	55.5544
4.11	26.9988	0.00679384	55.5544
4.12	27.0289	0.00674688	55.5544
4.13	27.0587	0.00670019	55.5544
4.14	27.0884	0.00665376	55.5544
4.15	27.1178	0.00660758	55.5544
4.16	27.1471	0.00656167	55.5544
4.17	27.1761	0.00651602	55.5544
4.18	27.205	0.00647062	55.5544
4.19	27.2336	0.00642549	55.5544
4.2	27.262	0.00638061	55.5544
4.21	27.2903	0.00633599	55.5544
4.22	27.3183	0.00629163	55.5544
4.23	27.3461	0.00624752	55.5544
4.24	27.3738	0.00620367	55.5544
4.25	27.4012	0.00616007	55.5544
4.26	27.4285	0.00611672	55.5544
4.27	27.4556	0.00607363	55.5544
4.28	27.4824	0.0060308	55.5544
4.29	27.5091	0.00598821	55.5544
4.3	27.5356	0.00594588	55.5544
4.31	27.5619	0.0059038	55.5544
4.32	27.588	0.00586197	55.5544
4.33	27.614	0.00582038	55.5544
4.34	27.6397	0.00577905	55.5544
4.35	27.6653	0.00573796	55.5544
4.36	27.6907	0.00569713	55.5544
4.37	27.7159	0.00565653	55.5544
4.38	27.7409	0.00561619	55.5544
4.39	27.7658	0.00557609	55.5544
4.4	27.7904	0.00553623	55.5544
4.41	27.8149	0.00549661	55.5544
4.42	27.8393	0.00545724	55.5544
4.43	27.8634	0.00541811	55.5544
4.44	27.8874	0.00537922	55.5544
4.45	27.9112	0.00534057	55.5544
4.46	27.9348	0.00530216	55.5544
4.47	27.9583	0.00526399	55.5544
4.48	27.9815	0.00522606	55.5544
4.49	28.0047	0.00518836	55.5544
4.5	28.0276	0.0051509	55.5544
4.51	28.0504	0.00511367	55.5544
4.52	28.073	0.00507667	55.5544
4.53	28.0955	0.00503991	55.5544
4.54	28.1178	0.00500338	55.5544
4.55	28.1399	0.00496708	55.5544
4.56	28.1619	0.00493102	55.5544
4.57	28.1837	0.00489518	55.5544
4.58	28.2054	0.00485957	55.5544
4.59	28.2269	0.00482418	55.5544
4.6	28.2482	0.00478903	55.5544
4.61	28.2694	0.0047541	55.5544
4.62	28.2904	0.00471939	55.5544
4.63	28.3113	0.00468491	55.5544
4.64	28.332	0.00465064	55.5544
4.65	28.3526	0.00461661	55.5544
4.66	28.373	0.00458279	55.5544
4.67	28.3933	0.00454919	55.5544
4.68	28.4134	0.00451581	55.5544
4.69	28.4334	0.00448265	55.5544
4.7	28.4532	0.0044497	55.5544
4.71	28.4729	0.00441697	55.5544
4.72	28.4924	0.00438446	55.5544
4.73	28.5118	0.00435216	55.5544
4.74	28.5311	0.00432007	55.5544
4.75	28.5502	0.00428819	55.5544
4.76	28.5692	0.00425652	55.5544
4.77	28.588	0.00422507	55.5544
4.78	28.6067	0.00419382	55.5544
4.79	28.6252	0.00416278	55.5544
4.8	28.6436	0.00413195	55.5544
4.81	28.6619	0.00410132	55.5544
4.82	28.6801	0.0040709	55.5544
4.83	28.6981	0.00404068	55.5544
4.84	28.7159	0.00401067	55.5544
4.85	28.7337	0.00398085	55.5544
4.86	28.7513	0.00395124	55.5544
4.87	28.7688	0.00392182	55.5544
4.88	28.7861	0.00389261	55.5544
4.89	28.8033	0.00386359	55.5544
4.9	28.8204	0.00383477	55.5544
4.91	28.8374	0.00380614	55.5544
4.92	28.8542	0.00377771	55.5544
4.93	28.8709	0.00374948	55.5544
4.94	28.8875	0.00372143	55.5544
4.95	28.904	0.00369358	55.5544
4.96	28.9203	0.00366592	55.5544
4.97	28.9365	0.00363844	55.5544
4.98	28.9526	0.00361116	55.5544
4.99	28.9686	0.00358406	55.5544
5	28.9844	0.00355715	55.5544
5.01	29.0002	0.00353043	55.5544
5.02	29.0158	0.00350389	55.5544
5.03	29.0313	0.00347753	55.5544
5.04	29.0467	0.00345135	55.5544
5.05	29.0619	0.00342536	55.5544
5.06	29.0771	0.00339955	55.5544
5.07	29.0921	0.00337391	55.5544
5.08	29.107	0.00334846	55.5544
5.09	29.1218	0.00332318	55.5544
5.1	29.1365	0.00329808	55.5544
5.11	29.1511	0.00327315	55.5544
5.12	29.1656	0.0032484	55.5544
5.13	29.18	0.00322382	55.5544
5.14	29.1942	0.00319942	55.5544
5.15	29.2084	0.00317518	55.5544
5.16	29.2224	0.00315112	55.5544
5.17	29.2363	0.00312722	55.5544
5.18	29.2502	0.0031035	55.5544
5.19	29.2639	0.00307994	55.5544
5.2	29.2775	0.00305655	55.5544
5.21	29.291	0.00303332	55.5544
5.22	29.3045	0.00301026	55.5544
5.23	29.3178	0.00298736	55.5544
5.24	29.331	0.00296462	55.5544
5.25	29.3441	0.00294205	55.5544
